work_id,title,fandom,trope,kudos,num_chapters,total_words,avg_words_per_chapter,total_comments,avg_comments_per_chapter,url,tags
17081900,Sex and the Art of Castle Maintenance,harry_potter,hurt_comfort,11979,1,15059,15059,20,20.0,https://archiveofourown.org/works/17081900,"Post-Second War with Voldemort, Hogwarts Eighth Year, Consent Issues, Implied/Referenced Character Death, Canon-Typical Violence, Enemies to Lovers, Tropes, Forced Proximity, Snark, Antagonism, Angry Sex, Hand Jobs, Blow Jobs, Anal Sex, Dirty Talk, Facials, First Time, Top Harry Potter, Bottom Draco Malfoy, Hurt/Comfort, War Trauma, Drinking, Matchmaking, Face-Fucking, H/D Erised 2018, Community: hd_erised, Mistletoe, Anal Fingering, Room of Requirement"
44399764,Like Real People Do,harry_potter,hurt_comfort,19438,3,36603,12201,60,20.0,https://archiveofourown.org/works/44399764,"Alternate Universe - Coffee Shops & Cafés, Alternate Universe - Muggle, Alternate Universe - Modern Setting, Raising Harry Potter, Disabled Remus Lupin, Epilepsy, Hurt/Comfort, Fluff, Implied/Referenced Child Abuse, Domestic Fluff, Mutual Pining, Grief/Mourning, Healthy Relationships, Seizures, Baby Harry, Chronic Illness, Chronic Pain, im very sorry but james and lily are in fact dead, Car Accidents, Falling In Love, Meet-Cute, Slow Burn, but like as slow burn as it can be in three chapters, which is not that slow, Good Parent Sirius Black, Desi Harry Potter"
44978518,Lead Me Into the Light,harry_potter,hurt_comfort,22563,2,17736,8868,40,20.0,https://archiveofourown.org/works/44978518,"Marauders Era (Harry Potter), Fluff, Angst, Mutual Pining, Gay Regulus Black, Everyone Is Gay, Fake/Pretend Relationship, Hurt/Comfort, Emotional Hurt/Comfort, Angst with a Happy Ending, Happy Ending, Pansexual James Potter, Enemies to Lovers, enemies is a loose term here, Love Confessions, Marauders, Alcohol, but in the average teenage drinking sense, toxic ex boyfriends, Jealous Regulus Black, Bad Decisions, but good outcomes, Idiots in Love, does it count as a pet name if its just regulus calling james an idiot?, Pet Names"
13125288,You open always (petal by petal),harry_potter,hurt_comfort,12579,6,65681,10947,120,20.0,https://archiveofourown.org/works/13125288,"Post War, Rent Boy!Draco, Down-And-Out!Draco, Grimmauld Place, House magic, Portraits, First Times, Antagonism, Hurt/Comfort, Coming Out, Pining, Angst, UST, Kissing, Frotting, Blow Jobs, Rimming, Intergluteal Sex, Anal Sex, Homophobic Slurs And Attitudes, Internalised Homophobia, Derogatory Attitudes To Sex Workers, Some Mentions Of Sadistic Violence, Brief Thoughts Of Sexual Activity With A Sleeping Partner, Rough Sex, Brief Mention Of Harry With A Woman (Past Relationship), Mentions Of Dubious Consent In Connection With Sex Work, Community: hd_erised, Inexperienced Harry, Top Harry Potter, House Elves, Masturbation"
36896740,wading in waist-high water,harry_potter,hurt_comfort,14849,9,82535,9171,180,20.0,https://archiveofourown.org/works/36896740,"famous! sirius, musician! sirius, phd student! remus, Alternate Universe - Modern Setting, Reality TV, Hurt/Comfort, crack but like emotional, Remus Disaster Lupin, the real treasure was the friends he made along the way, arthur is here for a good time not a long time, remus is the king of cardamom buns, the bun king, if you will, Alternate Universe - The Great British Bake Off Fusion, mcgonagall is everyone's favourite baking grandma, peter needs a hug and a cup of tea, in this tent we treat vegans with respect, dumbledore is basically paul hollywood chaos n all, arthur weasley's tea making prowess, Minor James Potter/Lily Evans Potter, this isn't a text fic, but it Does have text fic inclinations, Remus Lupin’s Hands, they are very horny (physically and emotionally), Anxious Remus Lupin, Light Smut, erotic dough kneading, Grief, Panic Attacks, Fluff"
50286298,second chances,harry_potter,hurt_comfort,14949,10,34484,3448,196,19.6,https://archiveofourown.org/works/50286298,"Age Regression/De-Aging, Implied/Referenced Child Abuse, Healing Inner Child, Black brother bonding, Sibling Bonding, everyone loves little regulus, Regulus Black is a sweetheart, didn't think i'd have to say this but no there is not any pedophilia?, love that i need to clarify that, Fluff and Angst, Happy Ending, Hurt/Comfort, Abusive Walburga Black, Child Abuse, regulus has a baby blanket because i said so, POV Sirius, POV James, pov regulus, slight smut at the end"
28864512,The Ordeal of Being Known,harry_potter,hurt_comfort,27532,14,146037,10431,280,20.0,https://archiveofourown.org/works/28864512,"Healer Draco Malfoy, Auror Harry Potter, Head Auror Ron Weasley, Healer Legilimens Draco Malfoy, Wizarding Politics (Harry Potter), Legilimency (Harry Potter), Harry Potter Epilogue What Epilogue | EWE, Fluff, Angst, Fluff and Angst, Hurt/Comfort, Implied/Referenced Child Abuse, Slow Burn, Albus Dumbledore Bashing, Magically Powerful Harry Potter, Digital Art, Department of Mysteries (Harry Potter), Ministry of Magic (Harry Potter), Magical Bonds, Implied/Referenced Abuse, Eventual Romance, Veritaserum"
32921029,Innocent Monsters,harry_potter,hurt_comfort,12550,12,50045,4170,240,20.0,https://archiveofourown.org/works/32921029,"Hogwarts Eighth Year, Fluff and Angst, Tooth-Rotting Fluff, POV Draco Malfoy, Muggle-born Slytherin Character, Hermione Granger is a Good Friend, Draco Malfoy Needs a Hug, Hermione Granger & Draco Malfoy Friendship, until it's not, Slow Burn, Implied/Referenced Child Abuse, Post-Traumatic Stress Disorder - PTSD, First Years with No Survival Instincs, Draco Malfoy Swears A Lot, Care of Magical Creatures, Erkling, put that thing back where it came from or so help me, vague monsters inc vibes, BAMF Andromeda Black Tonks, Hagrid is no help, Angst and Hurt/Comfort, HEA, Mama Duck Draco Malfoy, Implied/Referenced Torture, Mental Health Issues, Idiots in Love, Bad Acronyms R Fun"
12391806,where there's a will,harry_potter,hurt_comfort,15218,1,7855,7855,20,20.0,https://archiveofourown.org/works/12391806,"Hurt/Comfort, The Golden Trio, Trauma, teenagers dealing with the possibility of their own deaths, Not a death fic, will making, Angst, Canon Compliant, Anxiety, Gallows Humor"
14085165,"While I Was Fearing It, It Came",harry_potter,hurt_comfort,17059,1,5798,5798,20,20.0,https://archiveofourown.org/works/14085165,"Hurt/Comfort, Angst, Hogwarts Fifth Year, Book 5: Harry Potter and the Order of the Phoenix, Self-Harm, Implied/Referenced Self-Harm, Implied/Referenced Child Abuse, Abusive Dursley Family, Suicidal Thoughts, Implied/Referenced Suicide, Severus Snape Has a Heart, Lily Evans Potter & Severus Snape Friendship, Potions Class, understanding each other, Secrets Reveal, Mentor Severus Snape"
